Size,Bedrooms,Bathrooms,Location,Price
2901,3,2,Rural Area,476953.99672512896
1994,1,1,Suburbs,294893.3921945434
2321,1,3,Suburbs,344848.8633543758
615,1,1,City Centre,151931.85285494511
1161,1,2,City Centre,238408.33681886835
1965,4,1,Suburbs,341178.9319322421
2368,5,1,Suburbs,399465.08709446376
2834,2,1,City Centre,374847.67282607045
1516,5,1,Rural Area,323694.40461554547
810,1,3,Suburbs,170617.86447293754
707,4,2,City Centre,223005.6620861268
2993,4,3,Suburbs,471730.41314374434
1132,1,2,City Centre,192000.24783088124
2602,4,2,Rural Area,419748.95587014547
1156,1,2,Suburbs,234669.23026864586
1923,5,2,Suburbs,401310.3843137409
2431,3,2,Rural Area,378366.39239422546
2179,4,3,Suburbs,383799.62420079845
736,1,2,Suburbs,168382.2413184707
847,1,1,Suburbs,182214.41777403932
1129,4,3,City Centre,275423.10635221715
2040,2,3,City Centre,326494.01039841975
2503,1,2,Suburbs,355720.65943672124
1771,4,1,Rural Area,332476.01027930656
863,1,1,Rural Area,175317.50523270108
2868,2,2,Suburbs,409278.7841839486
785,3,2,City Centre,208811.14150119663
648,2,1,City Centre,170206.8813256237
1607,5,3,Suburbs,308033.85002672416
2953,4,3,City Centre,501295.5893726269
955,2,2,City Centre,218722.40023834846
2266,3,3,Rural Area,423679.4561306039
1299,1,3,Suburbs,270672.569547
1684,4,1,City Centre,297098.0265188588
1512,2,3,City Centre,278917.99906347966
2023,3,1,City Centre,305255.6257472381
980,2,2,Suburbs,204608.47008574687
2186,5,2,Suburbs,367323.18880361406
2661,4,1,City Centre,392627.674013346
2101,1,1,Rural Area,274397.9661555909
2908,3,2,Rural Area,448430.59037551563
840,2,1,Suburbs,156588.84296832103
2510,4,2,Rural Area,455517.4798928227
2996,2,2,City Centre,413164.80864594434
2366,4,2,Suburbs,423542.42364685255
1334,5,2,Suburbs,294116.47462037526
1703,2,2,Rural Area,305863.01996931905
2225,5,2,Suburbs,373131.1035637497
2189,3,3,Rural Area,344419.02889384114
810,5,3,Rural Area,297889.86705050885
761,4,2,City Centre,233661.4930990196
1942,3,3,Rural Area,345235.5664020336
905,2,1,Rural Area,175434.37602198985
2690,2,1,Suburbs,356575.32975482347
841,4,2,City Centre,212179.7693805506
1839,1,3,City Centre,288433.87156518904
743,1,1,Rural Area,164424.499578907
989,2,1,Suburbs,205484.6219086588
511,4,1,Suburbs,197895.24450237327
1060,1,1,Suburbs,149939.42795587768
541,5,3,City Centre,253034.48469976927
1093,2,1,City Centre,207923.3155939548
1952,5,1,Rural Area,344480.1837512777
2326,4,1,Rural Area,352897.5205776437
2193,5,2,Suburbs,412578.9346449379
633,1,1,Rural Area,105778.08448201569
1447,1,1,Suburbs,205032.28815288658
572,3,3,City Centre,215142.63747515564
898,2,1,Rural Area,184518.0414572386
1928,4,1,Suburbs,345363.9244376857
629,2,1,City Centre,169827.36070272446
2311,5,2,Suburbs,397515.5377654723
2501,4,3,Rural Area,391244.0427896169
765,4,3,Suburbs,266562.9732855577
2060,1,2,City Centre,302541.9296936186
2485,5,2,Rural Area,402193.2253767146
1292,1,3,City Centre,202213.34952717787
2800,1,1,Rural Area,371650.6880284836
1812,3,3,Suburbs,323493.2373387638
663,1,2,City Centre,143387.48962454617
594,2,1,City Centre,187961.4226276786
2305,4,3,Suburbs,368000.7070940955
1633,1,1,City Centre,243304.2476257164
2883,2,1,City Centre,407794.26900296484
1321,5,2,City Centre,321872.1769454788
737,4,3,City Centre,222630.76885541153
2928,5,2,Suburbs,499146.6449578369
2460,2,3,City Centre,409397.5226959693
1548,5,3,City Centre,370288.35583353654
2176,5,1,City Centre,365266.6136477383
1463,5,1,Rural Area,306793.7420495892
1036,1,1,Rural Area,213761.34707210556
2103,1,2,Suburbs,319182.3023595337
2479,1,1,Suburbs,320135.9482854666
627,4,2,Suburbs,218445.13642438213
591,2,1,City Centre,133604.70249546773
1042,1,2,Rural Area,227184.1076634748
1345,5,3,Rural Area,327461.4892285443
2181,5,2,Suburbs,432959.86178251856
2351,5,2,Rural Area,378580.53095333825
2994,5,2,Suburbs,459969.8870828541
889,3,3,City Centre,242843.85538444924
2384,4,2,Rural Area,443627.0229828178
542,2,3,City Centre,190753.5545017932
753,2,1,City Centre,165104.0189623686
1583,1,1,Rural Area,243655.51034447897
2834,3,3,Suburbs,424883.5332684369
2040,2,2,Rural Area,342926.34575080394
2453,4,1,City Centre,407526.8887203454
2892,5,2,Suburbs,501405.00797267305
1141,1,2,City Centre,181256.9423643527
2929,4,3,Suburbs,431798.6806080794
1189,2,1,Rural Area,219241.64016395627
1776,3,3,City Centre,348916.367034736
2450,1,3,Suburbs,380492.7026524703
1579,2,3,Suburbs,297701.39219753037
1986,1,3,Rural Area,329880.82952173275
956,2,2,Suburbs,245899.720255802
1482,5,1,Suburbs,297444.7219072387
2630,3,1,City Centre,417342.0530924597
1622,5,1,Rural Area,357151.4774638726
648,2,2,Rural Area,173760.76102301234
1852,4,2,City Centre,326216.97801745683
1679,5,3,City Centre,378056.8551120862
689,4,3,City Centre,283713.2228963543
1382,2,3,Suburbs,256310.76506896547
2810,3,3,Rural Area,474406.46524437633
899,4,1,Rural Area,215690.4919756264
1108,2,3,Rural Area,241400.83523336044
2295,4,2,Suburbs,366910.8572204102
2138,5,2,Rural Area,402415.00353782426
2075,2,2,Rural Area,330213.10581869114
2648,5,3,Rural Area,460793.4216665038
1882,1,1,Rural Area,260646.33439028272
1903,2,1,City Centre,286754.711162338
1319,4,3,Suburbs,305570.44886964245
1319,1,3,Rural Area,241679.08186326487
919,5,2,Rural Area,271046.25037963677
623,5,2,Rural Area,212369.60262585187
921,4,1,Rural Area,194082.6358665479
2008,1,2,Rural Area,307739.4411896169
2097,3,2,City Centre,357291.8945537499
1267,4,3,City Centre,306386.8340497542
2544,5,1,Suburbs,429955.19376981456
2702,2,3,Suburbs,396145.733686941
2639,1,1,Rural Area,341866.0300588249
2049,3,3,Rural Area,350337.765882128
2264,2,1,City Centre,295197.5841955214
2544,1,2,Suburbs,365895.2606947924
1009,4,1,Rural Area,261606.83353867152
1706,4,1,Rural Area,334237.09636166017
885,1,3,Rural Area,197284.28847679522
2097,3,1,Suburbs,320349.41667536716
2952,1,1,City Centre,370789.8358916165
2793,2,1,City Centre,373989.96822942555
1241,2,3,Rural Area,219030.6911406152
2411,4,1,Rural Area,392042.84377848293
1946,1,3,Rural Area,326473.2500393251
1400,4,2,Rural Area,304332.3478921359
2612,3,3,Rural Area,416650.96626194
2760,2,1,Suburbs,368454.9190600817
2509,5,2,City Centre,446140.5206394235
741,5,1,Suburbs,237346.57068561128
2885,1,3,Suburbs,379125.3176291698
2520,1,2,Rural Area,378463.4820643353
672,5,2,Suburbs,260133.48406383465
1171,1,2,City Centre,250198.28469457137
663,2,1,Rural Area,194556.20884046124
964,3,2,City Centre,223939.82386392457
996,3,2,Suburbs,233898.20342082565
1199,4,2,Rural Area,300130.8942426222
2942,2,2,City Centre,390694.5421079304
1202,1,3,City Centre,268317.8615256062
2440,1,1,Rural Area,335549.4436132358
2855,4,1,City Centre,447059.1660849288
2291,4,2,Rural Area,395559.6966150081
682,1,3,Rural Area,184267.7669474888
1128,1,2,Suburbs,206992.92040212484
2231,2,1,City Centre,325169.9240198405
1045,4,1,Rural Area,196085.19277428553
2087,2,1,Suburbs,324955.1961891992
1123,1,2,Suburbs,255874.6655172374
1093,5,2,Rural Area,272716.1899661483
1243,5,3,Rural Area,289937.62223822734
2268,1,3,City Centre,373175.34515754686
1959,4,1,City Centre,348451.8045102095
2448,5,1,City Centre,427893.2478174429
2568,4,3,Rural Area,441866.0025044706
2944,5,1,Suburbs,440853.2414544377
604,4,3,Suburbs,253577.12008661887
2739,5,2,Rural Area,444040.2428816432
516,4,1,City Centre,180080.5207117064
892,2,1,Suburbs,206968.65500475012
924,4,3,Suburbs,270855.49502319854
2676,2,2,City Centre,395862.69994059077
1071,2,1,Suburbs,219649.29507825532
2576,1,1,City Centre,359205.9737835511
1620,2,3,Suburbs,322934.25796923623
741,3,2,Suburbs,218330.7626684596
2779,2,3,Suburbs,441791.9693025789
1288,4,2,City Centre,311433.8190227611
1214,2,2,Suburbs,256195.53456557586
1258,4,3,Suburbs,289304.86363716313
1275,4,3,Suburbs,322094.0844556182
2747,3,2,Rural Area,423251.49936597643
578,2,3,Suburbs,165953.53948256682
1355,2,1,Suburbs,216814.823479445
1939,5,1,City Centre,334600.5542786733
2996,5,1,City Centre,440736.80503782345
2634,1,1,Rural Area,326487.1682764809
2648,4,1,City Centre,426530.44518021157
1531,3,3,City Centre,309743.21634277713
1344,5,2,City Centre,332056.4204936672
586,2,3,Rural Area,171200.1087979622
2590,1,1,Rural Area,313163.0422549229
907,3,1,Suburbs,198436.47316036597
2168,2,3,Suburbs,365658.36669714784
647,2,3,City Centre,214662.27834608688
2824,4,2,Suburbs,437858.0691500964
731,4,1,Suburbs,224548.58970502808
2450,5,3,Rural Area,429868.0797778385
865,5,2,Rural Area,251987.23051479328
2174,2,1,Suburbs,330353.0720534629
935,2,1,Suburbs,211757.77365758718
898,5,1,Suburbs,290610.13433698047
1734,5,3,City Centre,348431.5848775313
1914,2,1,Rural Area,273934.3162986788
1062,3,1,Suburbs,221293.40203784063
2989,2,2,Suburbs,431163.9568296582
1784,3,3,City Centre,373555.400421801
1272,3,2,Rural Area,270033.0555948414
2897,2,3,City Centre,407457.8072030797
2537,1,1,City Centre,315918.626472249
1843,5,2,Suburbs,352650.9386506819
2685,4,3,City Centre,448087.61048989114
2073,2,3,City Centre,356551.77312993666
1491,3,1,Suburbs,278471.57724027627
2915,2,1,Rural Area,382103.10440136614
1746,5,2,Suburbs,328441.2802112247
859,3,2,Rural Area,239016.38759978517
1420,4,3,City Centre,305986.3370470778
2876,4,2,City Centre,438242.3466432648
1462,4,1,Suburbs,270919.79539405304
2327,1,2,Suburbs,301617.3279944347
2113,3,2,Suburbs,384198.6272329876
2140,3,3,City Centre,355827.7027198745
2716,1,1,City Centre,317312.58111258474
716,3,3,Rural Area,229858.65356703478
877,1,1,Suburbs,169734.750593989
618,2,1,City Centre,129344.66317148702
689,5,3,Rural Area,286716.2882178886
869,4,2,Suburbs,260146.39182487753
2301,1,3,Suburbs,361950.2137714461
2696,1,2,Rural Area,374956.12852508796
1151,1,3,Rural Area,204030.43443211517
2382,2,3,Rural Area,371955.2631528122
2011,1,2,City Centre,291483.722881894
1269,5,2,Suburbs,293897.5879987219
2921,5,2,Suburbs,504827.7592894274
1280,4,3,Rural Area,283174.562922916
2216,2,2,City Centre,332337.0345903816
2707,5,2,Rural Area,451454.85057900404
2898,3,2,City Centre,437677.3171265719
1811,3,1,Suburbs,339945.81292727933
1749,3,2,Suburbs,311629.703282637
1022,1,2,City Centre,208018.30612750113
1021,1,2,Suburbs,178014.1616014891
1282,3,1,Suburbs,264710.23999905586
2820,4,1,Rural Area,465709.14833656326
1435,4,2,City Centre,294952.02994339686
2730,1,2,Suburbs,389060.5516916711
2188,3,2,Suburbs,330591.91606757225
987,4,2,City Centre,251799.65704308302
2350,1,1,Suburbs,314101.0466979389
1345,3,2,City Centre,281541.6101435461
2671,2,1,City Centre,369307.7435759214
2961,3,3,Rural Area,473684.6526458997
2503,3,1,City Centre,365026.6034132917
2248,5,3,Rural Area,434416.9806248992
1185,5,1,Suburbs,286728.6427059429
2660,2,1,City Centre,349425.1117393376
2669,2,1,Rural Area,327331.250886556
2067,3,2,City Centre,349633.1932711527
1745,4,1,Suburbs,305808.3185386254
538,2,2,Rural Area,179306.38387082412
1279,3,1,Rural Area,227689.1569234814
1756,1,1,Rural Area,271270.65039536037
2696,5,3,Suburbs,495969.5292680577
2427,4,1,Rural Area,382912.19715509634
801,3,2,Suburbs,180178.66215966563
2785,1,3,Suburbs,392385.8344802377
1146,5,3,City Centre,295349.68054701184
1162,1,1,Suburbs,182251.25696151433
2783,3,1,Rural Area,399108.05096136424
2259,2,3,Rural Area,380832.75002088764
2750,5,2,Suburbs,443462.1602217457
755,1,1,Suburbs,174448.5094420077
1097,2,3,City Centre,240388.0452000092
1161,4,2,City Centre,274289.278881036
734,3,1,Rural Area,220236.3737652219
1868,3,3,Suburbs,336206.95017006947
1269,5,3,Rural Area,337222.0594869465
712,1,1,Suburbs,151652.72407433682
962,4,2,Rural Area,267392.23905691586
2983,5,2,Rural Area,472989.6904288331
782,5,3,Rural Area,276623.40646824206
1986,1,2,Suburbs,303743.8536724689
1930,4,3,City Centre,381514.1216114676
587,1,1,City Centre,153296.27466499555
1567,3,2,Suburbs,279813.9676098481
960,2,1,City Centre,237402.97994640496
2825,3,3,Rural Area,438023.4697726168
2968,3,1,Suburbs,440109.1299536807
2224,5,2,Suburbs,354600.90878844046
1876,3,1,City Centre,328667.85932712903
1014,4,2,City Centre,276706.18232915195
1202,3,2,Rural Area,264879.1888128505
2153,4,2,Suburbs,330168.48196867027
2566,1,2,City Centre,342156.2540478116
522,5,2,Suburbs,211725.14281871938
2960,4,3,Rural Area,494257.15934508404
1553,3,1,Rural Area,256232.47687338115
2330,5,3,Rural Area,439083.15245490905
2655,5,1,Suburbs,424707.53445705184
1804,4,1,Suburbs,347059.02371040976
1634,4,1,Suburbs,312978.1355170174
2683,2,3,Suburbs,390389.96899886377
861,2,2,Suburbs,190611.1611924164
2676,5,2,Rural Area,438766.11643019534
2399,2,3,Rural Area,313060.08896137
1784,3,2,Rural Area,353810.4597582127
1014,1,1,City Centre,212677.85051707277
948,5,2,Rural Area,276160.439421429
2423,1,2,Suburbs,361092.366967306
2006,2,2,Rural Area,319874.9312745803
1747,4,1,City Centre,328426.28803062317
2355,5,2,City Centre,435238.07485508313
1373,2,2,City Centre,252530.99184060117
1928,3,2,City Centre,348279.247395209
2849,5,3,City Centre,443965.84937920305
2778,5,3,Suburbs,477091.46108557214
2254,4,2,Rural Area,385111.9254973169
1422,5,3,Suburbs,330396.83352448733
2659,4,3,Suburbs,436765.91659515194
1536,2,1,City Centre,253761.4130726407
1916,3,3,Rural Area,368759.96693615906
2781,3,3,Rural Area,431935.4138275181
813,5,2,Rural Area,317726.0593896793
2756,5,1,City Centre,421809.6724743058
2497,2,1,Suburbs,365794.07076975587
1537,4,1,Rural Area,316597.12657468766
2156,3,3,Suburbs,362808.3653056718
2278,4,2,Rural Area,363529.6512715891
1514,2,1,Rural Area,247369.44695321788
1593,3,1,Rural Area,257878.882729365
1624,3,3,Rural Area,300929.36853995343
1197,1,1,City Centre,212442.98556117303
2679,2,2,City Centre,439700.59021695144
1904,2,1,Suburbs,330111.3280890534
1655,1,2,City Centre,253339.5472762211
1543,4,2,Rural Area,333213.26129134017
2429,1,2,Suburbs,335627.59017402626
1513,2,3,Suburbs,268898.9872837433
726,4,3,Suburbs,245945.82346023273
2328,3,2,Rural Area,329036.884559138
1992,1,2,Rural Area,265585.92012203374
1321,4,1,Suburbs,295361.3553546741
2523,4,1,City Centre,424578.5830761256
1370,4,1,Rural Area,232199.74624067912
2952,1,3,Rural Area,439346.97197296825
2749,3,1,City Centre,423072.36889389827
2585,4,2,Suburbs,411527.3583896861
2295,1,2,City Centre,338599.8124267566
687,2,3,Rural Area,240045.7511983587
1580,1,3,Suburbs,297519.3967564722
1440,1,1,Suburbs,238881.68935483517
2820,1,3,City Centre,384325.296128147
1025,4,2,Rural Area,254297.30129598314
835,1,2,Rural Area,197486.15795123493
1578,2,3,Suburbs,303636.35491774045
661,4,2,Rural Area,249338.21830059536
1093,2,3,Suburbs,215403.65177349575
2438,5,2,Suburbs,432699.18382243137
2706,1,1,Suburbs,369985.71517016244
559,4,3,Rural Area,226056.02428386098
2401,4,3,City Centre,462740.13908109587
2758,1,3,Suburbs,373507.1630793344
905,3,2,City Centre,229375.99052116158
1163,3,1,City Centre,255918.87357539946
1632,2,3,City Centre,315469.98577767523
1599,1,2,City Centre,254992.62893138814
1041,1,3,City Centre,214156.24025593075
1837,5,2,Suburbs,377674.3189580254
1497,3,1,Rural Area,283985.83140636917
1640,3,2,City Centre,305842.0304612504
1367,1,2,Rural Area,199501.63621367904
2566,2,3,Rural Area,394554.4367934774
931,1,2,Suburbs,225405.4181339793
1239,2,3,City Centre,270688.8967490051
1873,3,2,Rural Area,311785.0760258496
682,5,1,Rural Area,204025.89331386678
2660,4,2,City Centre,445175.514362279
1706,3,3,Suburbs,316404.6392862477
1669,2,2,Suburbs,313604.73579452577
1330,1,2,City Centre,259246.74323111813
2151,3,1,Rural Area,337125.005031761
1636,5,3,Suburbs,365100.58219565207
975,2,1,Suburbs,211497.25786372548
1826,1,2,Rural Area,258596.26537278318
1470,4,1,Rural Area,326130.11718100903
1519,2,2,Rural Area,281880.4029055236
1641,1,2,Rural Area,267160.69090120366
2336,4,1,City Centre,398329.72198723216
660,1,1,Rural Area,157100.51216927654
2948,4,2,Suburbs,433045.76457435556
697,4,1,Rural Area,198589.3218147191
1783,4,1,Rural Area,280386.41999650176
1159,1,2,City Centre,217221.38960892783
2275,4,3,City Centre,413549.8716984074
1570,2,1,Rural Area,258250.10189987306
2510,5,1,City Centre,392886.7829088585
898,5,3,City Centre,274898.62194484245
2233,4,1,City Centre,360923.3659013831
2082,5,2,City Centre,405547.63383881
2625,5,1,Rural Area,456136.4340470991
2671,4,2,City Centre,372372.53976333805
574,4,3,City Centre,230823.56653003127
2684,2,3,Suburbs,391317.900931114
1101,3,3,Rural Area,259886.33880711402
1336,1,1,City Centre,235441.59932203614
2028,4,3,Suburbs,367809.828943265
999,4,1,City Centre,258588.51953453693
2096,5,1,Rural Area,414427.31857765355
637,2,1,Suburbs,159695.23863556748
2597,5,3,Suburbs,450359.6591909321
2294,4,3,Rural Area,399611.4660819256
1472,4,1,Suburbs,339939.8181586727
2142,5,3,Suburbs,399197.77760915796
2385,4,1,City Centre,412899.3645965292
2801,3,3,Suburbs,434381.9080850225
2528,1,2,Rural Area,356205.38628765044
2400,1,3,City Centre,371566.4183901118
1949,1,3,Suburbs,302445.8040765435
1046,3,3,City Centre,279250.431324747
1421,4,1,Rural Area,281563.84820679855
1080,5,1,Suburbs,251629.31121067883
1872,2,2,Rural Area,327533.88303212513
2456,4,2,Rural Area,417806.38252046396
2503,3,2,Suburbs,378577.7635898409
2596,3,1,Suburbs,407655.1191235704
1203,1,2,City Centre,200612.49629446818
2808,4,2,Rural Area,449257.73687962
2903,1,3,Suburbs,371445.9101306112
2125,2,2,Rural Area,324714.41892274446
1137,1,3,Suburbs,211855.7284561844
1509,2,1,Rural Area,230714.5857805101
1140,3,1,City Centre,239490.2376914212
2361,1,3,Rural Area,357741.0967252426
1705,1,2,Suburbs,282795.86981781083
1185,5,1,City Centre,283533.6075818814
2351,3,3,City Centre,398717.2458752139
687,5,1,Suburbs,211237.74499825446
2119,2,1,City Centre,299294.7722660719
2187,2,2,Rural Area,338343.65364255966
1484,3,1,Rural Area,255877.87093785405
1047,2,3,Suburbs,239810.8880948574
1931,3,2,Rural Area,320099.83617082913
1375,2,3,Suburbs,269329.4606991526
1117,4,3,City Centre,253411.0737023724
2961,1,3,Rural Area,376856.9905513135
1865,4,2,Suburbs,332159.42783660424
1743,3,1,Rural Area,272764.7460366855
1402,3,3,City Centre,242712.45685879939
662,4,1,City Centre,220851.44876133977
2474,1,1,Rural Area,351826.61350801133
769,1,3,City Centre,209403.91288007933
1131,5,1,Suburbs,275212.7837908557
1405,2,2,Rural Area,257205.89480402693
2514,5,2,Rural Area,433385.554020323
2141,1,1,City Centre,286007.435839241
704,4,1,Suburbs,178548.11881588056
1081,2,2,Rural Area,251849.4844644491
2079,4,1,Rural Area,353186.95212345175
1340,5,1,City Centre,298057.7419275709
2336,3,1,City Centre,352266.1625542695
1751,4,1,Suburbs,331972.7428125614
2219,5,3,Suburbs,414538.5469416294
2142,5,1,City Centre,369412.3136923962
2797,5,2,Suburbs,452987.3717460132
1374,3,3,City Centre,293698.0423623506
1964,3,3,Rural Area,328346.44473372464
2743,3,2,City Centre,442584.5579974853
1189,2,1,City Centre,211758.21567208393
2510,3,3,City Centre,390096.47903826355
1922,3,3,Rural Area,339641.5759239936
2501,3,1,Suburbs,393283.18030317203
1171,4,1,Suburbs,256729.8521100083
1671,3,2,Suburbs,330384.17578112823
1995,2,3,City Centre,327906.6140533125
1443,5,1,City Centre,280883.4532893038
2746,4,1,Suburbs,402900.86345801107
1949,1,2,Rural Area,281177.8818558596
1395,3,3,Rural Area,307471.6187516217
2689,5,1,Rural Area,424733.94461167813
1836,5,2,Rural Area,339989.5466155278
664,4,3,City Centre,212448.6000810601
2861,1,3,Suburbs,364468.51601676637
2568,2,3,Rural Area,444872.541244392
1605,5,3,City Centre,340512.68641496747
2253,5,2,City Centre,414154.6587959098
2852,5,1,City Centre,426065.37596847484
2438,5,3,Suburbs,463352.8066030758
870,4,3,City Centre,244851.02774605365
2380,1,1,Suburbs,360414.7473757528
1352,5,3,Suburbs,369638.8098094836
883,2,3,Suburbs,200991.58584861716
2431,2,1,Suburbs,372880.7854608904
2992,3,1,City Centre,461748.04896405886
924,5,3,City Centre,255346.52186996155
2708,5,1,City Centre,406057.27148460597
1128,5,2,Rural Area,250944.16625621836
1394,5,2,Rural Area,300605.908358753
2874,5,3,Suburbs,462289.00439001503
1097,2,3,Suburbs,238020.18210026313
2836,1,1,Suburbs,343066.4754302092
1092,1,1,Suburbs,208034.673399971
2187,3,3,Suburbs,374309.4717496054
1072,2,3,Rural Area,250687.7829616376
2575,5,2,Suburbs,458091.764652843
2590,1,1,City Centre,349261.7401307004
2204,4,3,Suburbs,390922.4836346505
2970,4,3,City Centre,455573.17249861546
676,4,1,City Centre,230550.29490378912
1028,5,1,City Centre,273209.043852292
2133,5,3,City Centre,412675.5397296984
1465,3,3,Suburbs,289395.2117360822
2017,3,3,Suburbs,362704.4763356844
697,3,1,Suburbs,179067.51173273937
1352,4,3,Suburbs,316400.178162082
2037,5,3,Suburbs,393404.2161117878
2569,4,3,Rural Area,446211.08105532604
1580,3,2,City Centre,271430.30094813067
597,5,2,City Centre,240651.41747734568
2403,2,1,Rural Area,359356.2177664564
934,1,3,Rural Area,209891.40557059966
1136,1,3,Suburbs,200153.50165780686
1087,3,1,Suburbs,218809.25961877755
843,4,1,City Centre,254644.6308721631
1817,2,1,Suburbs,285284.5214147128
2479,5,3,City Centre,426514.2427311955
1070,4,2,Suburbs,292084.7457618371
1110,3,1,Suburbs,266993.37643508706
2227,4,3,City Centre,374124.86595906585
2790,3,1,Rural Area,393940.4582258979
2354,1,3,Rural Area,343512.59184742783
1459,1,1,Suburbs,241564.15069004893
2579,4,3,Rural Area,429292.62850977905
2938,2,1,Suburbs,401248.6028341554
2824,5,2,Rural Area,459479.2613778171
1031,3,1,Rural Area,272097.8274693484
1677,5,1,City Centre,344170.2996311696
2930,1,2,Rural Area,387127.83021766704
1591,2,1,Suburbs,258542.9602984142
2401,2,2,City Centre,369562.84980618197
1383,5,3,Rural Area,314196.97722532065
2761,1,2,City Centre,381502.61878969247
2178,5,2,Rural Area,400985.53634799464
2923,4,3,Suburbs,450007.6187982798
2760,2,2,Suburbs,349708.43712955294
2626,2,2,City Centre,347860.72600700037
2249,4,3,Rural Area,395309.659091049
1281,1,1,Rural Area,231240.3794289748
2605,2,1,City Centre,356515.73525953066
1380,3,2,City Centre,295320.04086898884
946,3,1,Suburbs,212266.5761686932
2613,1,1,City Centre,325277.7696668424
2283,4,2,Rural Area,362733.00100405375
1777,5,3,City Centre,354168.4922339753
2491,1,1,Suburbs,336914.74177699484
1567,5,2,City Centre,335787.93125872366
2077,1,3,Rural Area,317736.6154278325
1511,3,1,City Centre,271968.8389254938
2774,4,3,City Centre,474500.8177766494
1273,3,2,City Centre,304891.50746465346
2314,4,3,Suburbs,391643.53101116524
2926,5,3,Suburbs,483837.7924712476
1701,1,2,Suburbs,245672.75970133234
1950,2,1,Suburbs,299709.1499619386
806,2,1,Rural Area,179301.83282389035
1278,4,3,Rural Area,307093.3272504748
2815,4,3,Suburbs,474066.06304999837
507,3,3,Suburbs,181506.39359747278
975,2,3,Suburbs,228248.94452449807
1820,3,1,City Centre,301460.316764247
2711,5,2,Rural Area,454275.6737390445
984,2,2,City Centre,246408.6220359937
1404,5,2,Suburbs,307390.1843936814
1058,1,3,Rural Area,232983.7671653956
2467,3,3,Suburbs,435143.95405632147
2785,4,2,City Centre,421581.01743995975
1627,2,1,Rural Area,270644.92800711014
1733,3,2,City Centre,316070.7469560834
967,4,1,Rural Area,215775.64842714104
2933,1,3,Suburbs,419883.3159652491
1347,2,2,Rural Area,277154.2365051749
2934,5,2,City Centre,460039.9034249501
758,1,3,City Centre,185007.184925257
782,4,1,City Centre,188260.68853315717
2149,2,2,City Centre,355939.83297985676
2398,2,2,Suburbs,377107.2369484395
539,1,1,City Centre,119784.32300710354
2767,2,2,Suburbs,379852.3758057165
1514,4,2,Rural Area,303444.9204841787
1112,1,3,City Centre,252040.00241069397
2415,5,1,Rural Area,405056.72274778766
1187,1,2,Rural Area,221735.47634103996
1112,1,2,Suburbs,214238.21878834054
2807,5,3,City Centre,503153.71234492824
2913,4,2,Suburbs,443837.68069415627
2281,3,3,City Centre,380386.5316235394
2310,3,2,Rural Area,394487.34739275096
2047,5,3,Suburbs,422971.2654604376
2430,4,1,City Centre,367114.33533970267
1652,2,1,Rural Area,231276.29964429853
1074,5,2,Suburbs,287255.96591397363
2410,3,2,Suburbs,393934.16159992304
1512,4,3,Suburbs,332501.5475945079
1169,1,3,Suburbs,219658.60542861806
768,4,1,Rural Area,259078.6285304274
1783,4,2,Rural Area,316927.8953947476
1423,3,3,Rural Area,270024.29940981563
1625,3,1,Rural Area,310589.7410685068
2029,2,1,City Centre,299494.0130834477
2258,2,3,Rural Area,394771.35859701916
2094,5,2,Suburbs,384408.85603863496
746,1,1,Suburbs,151837.82830871583
2060,2,3,Suburbs,350932.6680940399
2678,3,1,Suburbs,409900.01564505085
2900,4,2,City Centre,493211.0689982324
2743,5,3,Suburbs,486540.14258762775
2439,2,2,Suburbs,385321.5596674485
1429,4,2,Suburbs,291321.0806709817
726,4,1,Rural Area,236777.6974836086
764,2,2,Rural Area,208911.95440746972
1895,1,1,City Centre,262871.7213213882
1957,1,3,City Centre,283188.42323012755
1145,5,3,City Centre,291441.42012463737
2758,1,1,Suburbs,350468.2311652345
1918,5,1,City Centre,352912.14392020163
1973,3,1,Rural Area,337217.7455130291
1887,2,2,Rural Area,327638.01966383867
2399,4,3,Rural Area,449876.34116058116
1749,5,3,Suburbs,378429.00207359897
1481,1,2,Suburbs,219037.99880597106
1654,5,1,City Centre,312382.175570724
1087,5,3,City Centre,299116.5801956237
975,1,2,City Centre,218914.2540175037
2321,1,1,City Centre,329533.20366484014
1485,2,3,Suburbs,268318.7983597038
2703,4,1,Rural Area,393027.2884771905
1741,2,2,Suburbs,281413.5681206557
689,2,3,City Centre,179157.70243604033
1940,1,1,Suburbs,276607.22946278175
1480,1,1,Rural Area,241898.63846934805
2198,4,1,Suburbs,370718.12621252413
2215,5,2,Rural Area,391997.37833678623
540,2,1,City Centre,159563.499591578
2854,4,3,Suburbs,434272.3104535763
1442,2,3,City Centre,265484.44814616366
837,5,1,City Centre,254920.9292901105
1837,2,2,Rural Area,348695.64829963894
1598,3,3,Rural Area,341740.52730637306
2826,4,3,City Centre,431429.0166172476
1395,1,3,Rural Area,271387.44157192233
2820,2,1,Rural Area,390507.5749264248
2174,4,3,City Centre,396466.46242199483
1430,4,1,City Centre,339044.01615228853
788,2,1,Rural Area,174092.807462986
1223,1,1,City Centre,217858.2510025064
2819,1,1,City Centre,382268.47995468264
2453,2,1,Rural Area,336402.2729501124
1589,4,3,Suburbs,292041.3239697109
982,1,1,Suburbs,156613.03266349176
1435,2,1,City Centre,253599.10799571595
